game,contact_score,elapsed_seconds
0,140.306,0.0017162
10000,135.178,170.106
20000,149.629,331.648
30000,155.569,507.215
40000,119.24,682.348
50000,125.849,858.525
60000,115.574,1033.53
70000,141.151,1182.28
80000,107.138,1329.22
90000,118.141,1481.89
100000,126.936,1591.36
110000,143.522,1817.81
120000,139.124,2038.73
130000,115.163,2260.35
140000,110.642,2481.99
150000,142.431,2702.96
160000,166.442,2925.49
170000,136.372,3146
180000,127.134,3364.61
190000,141.914,3584.84
200000,116.177,3806.33
210000,136.705,4025.7
220000,129.593,4250.63
230000,141.938,4471.56
240000,109.922,4696.7
250000,101.553,4922.79
260000,109.056,5148.98
270000,109.797,5375.36
280000,110.99,5599.56
290000,139.38,5822.15
300000,128.551,6049.69
310000,144.103,6279.2
320000,97.1244,6506.49
330000,160.965,6735.3
340000,110.088,6959.3
350000,138.901,7182.59
360000,107.951,7411.83
370000,104.423,7639.34
380000,113.768,7864.9
390000,134.869,8090.68
400000,145.451,8313.17
410000,115.507,8535.98
420000,130.198,8761.68
430000,110.548,8988.61
440000,125.552,9214.87
450000,109.933,9440.26
460000,109.532,9662.05
470000,107.622,9883.92
480000,99.1521,10108.8
490000,127.767,10332.4
500000,139.464,10555.6
510000,169.035,10779
520000,155.53,11004.2
530000,129.105,11221.8
540000,126.681,11434.8
550000,130.846,11644.3
560000,127.797,11855
570000,155.134,12064.9
580000,110.679,12268.4
590000,98.3224,12463.6
600000,108.22,12691.4
610000,141.585,12917.3
620000,106.269,13143.5
630000,99.8856,13369.7
640000,155.836,13595.3
650000,121.053,13822.8
660000,114.877,14045.8
670000,116.028,14269.9
680000,116.416,14495.8
690000,90.3361,14722.5
700000,116.728,14949.8
710000,102.758,15174.4
720000,90.8493,15398.5
730000,92.6075,15625.1
740000,107.903,15849.5
750000,126.017,16072.6
760000,110.676,16297.4
770000,104.435,16521.1
780000,188.735,16746.9
790000,101.072,16970
800000,110.591,17195.1
810000,107.655,17419.9
820000,144.299,17643.8
830000,129.027,17867.1
840000,106.207,18093
850000,115.93,18321
860000,96.5031,18548.3
870000,154.129,18773.3
880000,126.72,18995.2
890000,134.767,19219.9
900000,124.314,19439.5
910000,128.688,19663.9
920000,88.3525,19888.3
930000,88.0831,20111.9
940000,127.454,20336.8
950000,106.225,20559.1
960000,121.865,20778.3
970000,97.2746,20995.3
980000,111.541,21206
990000,105.831,21419.4
1000000,102.488,21645.2
