game,contact_score,elapsed_seconds
0,170.227,0.0081521
10000,40.8754,47.6968
20000,36.9045,82.5864
30000,36.4367,117.693
40000,34.7546,154.028
50000,32.9814,190.327
60000,33.8242,228.918
70000,32.7352,266.791
80000,31.8998,305.948
90000,31.8661,344.275
100000,31.9265,384.332
110000,31.8198,423.844
120000,31.685,463.161
130000,30.0983,501.869
140000,29.7339,540.71
150000,29.5508,580.232
160000,29.4222,620.43
170000,29.4903,661.023
180000,29.1116,701.233
190000,29.1434,742.236
200000,29.104,782.824
