game,contact_score,elapsed_seconds
0,29.104,0.036703
10000,29.0402,40.2187
20000,28.5931,80.6256
30000,28.7833,119.625
40000,28.6642,159.746
50000,28.6456,199.686
60000,28.5062,240.623
70000,28.4227,280.768
80000,28.3366,321.404
90000,28.4321,360.902
100000,27.975,400.579
110000,28.3927,439.468
120000,28.0624,477.916
130000,28.0101,517.482
140000,27.8464,557.154
150000,28.0884,597.786
160000,27.9238,637.333
170000,27.4197,677.705
180000,27.7112,716.797
190000,27.9268,755.4
200000,27.7655,793.81
210000,27.6846,832.423
220000,27.5095,872.345
230000,27.7114,912.925
240000,26.981,953.267
250000,27.2185,992.86
260000,26.9334,1033.65
270000,27.1746,1073.7
280000,27.0155,1112.94
290000,27.0553,1152.44
300000,26.85,1191.75
310000,26.977,1231.44
320000,26.9176,1271.96
330000,26.8503,1313
340000,26.7229,1353.25
350000,26.8988,1394.33
360000,26.9372,1434.82
370000,26.709,1474.64
380000,26.5729,1514.29
390000,26.71,1553.7
400000,26.9361,1593.98
410000,26.9107,1634.54
420000,26.7574,1675.85
430000,26.9254,1715.2
440000,27.0029,1756.38
450000,27.0035,1796.71
460000,26.1572,1835.89
470000,26.1916,1875.74
480000,26.2923,1915.56
490000,26.1017,1956.21
500000,25.9647,1997.38
510000,25.6867,2039.46
520000,25.3702,2080.42
530000,25.685,2122.01
540000,26.1838,2162.77
550000,25.9555,2202.97
560000,25.9867,2243.04
570000,25.8054,2282.98
580000,25.6722,2324.26
590000,25.7408,2365.1
600000,25.6002,2406.8
610000,25.348,2447.01
620000,24.9133,2487.75
630000,24.9488,2527.77
640000,24.7417,2567.13
650000,25.04,2605.98
660000,24.9704,2645.21
670000,24.9291,2685.04
680000,25.1965,2725.34
690000,25.0643,2766.66
700000,25.2695,2807.48
710000,24.8175,2848.75
720000,25.29,2889.02
730000,25.0262,2928.21
740000,24.677,2967.55
750000,24.9184,3006.88
760000,24.8867,3048.3
770000,24.7936,3089.49
780000,24.946,3131.3
790000,24.3523,3173.31
800000,24.4737,3214.74
810000,24.656,3255.36
820000,24.6605,3295.52
830000,24.1845,3335.72
840000,23.9872,3375.31
850000,23.9677,3417.25
860000,24.4422,3458.2
870000,24.5758,3498.31
880000,24.5179,3539.04
890000,24.6716,3578.87
900000,24.4857,3618.78
910000,23.8067,3658.87
920000,24.1177,3698.62
930000,23.931,3738.49
940000,24.262,3780.03
950000,24.3964,3821.08
960000,24.0758,3861.65
970000,24.5427,3903.76
980000,24.0155,3944.85
990000,24.3605,3985.65
1000000,24.0837,4026.4
