game,contact_score,elapsed_seconds
0,166.522,0.0385046
10000,44.8899,76.9123
20000,37.6754,144.536
30000,34.9178,212.106
40000,33.2319,278.292
50000,32.8304,346.316
60000,32.0614,413.562
70000,30.946,481.412
80000,31.0421,546.65
90000,30.358,610.487
100000,30.8666,676.509
110000,30.0139,742.773
120000,30.458,811.08
130000,29.8602,876.86
140000,29.8456,942.219
150000,29.7798,1007.21
160000,28.7761,1073.84
170000,28.9343,1139.82
180000,29.4298,1205.29
190000,28.8057,1269.85
200000,28.8596,1333.06
210000,28.0916,1398.63
220000,28.4692,1463.72
230000,28.475,1529.67
240000,28.9689,1593.8
250000,27.9348,1658.19
260000,27.6052,1722.98
270000,27.7054,1790.1
280000,27.3392,1854.64
290000,26.6379,1920.55
300000,26.671,1983.61
