game,contact_score,elapsed_seconds
0,26.671,0.0970658
10000,26.6043,62.0681
20000,26.7973,126.377
30000,26.6391,190.912
40000,26.6009,256.841
50000,26.3443,326.525
60000,26.1777,392.859
70000,26.287,457.431
80000,26.182,519.865
90000,26.1948,582.885
100000,26.0945,645.823
110000,26.0643,708.315
120000,26.1613,768.643
130000,26.1722,829.028
140000,25.8721,890.062
150000,26.0022,951.251
160000,25.9408,1012.28
170000,25.7494,1072.81
180000,25.934,1133.19
190000,25.8713,1193.3
200000,25.8838,1253.38
210000,25.7917,1313.72
220000,25.6806,1374.49
230000,25.9001,1435.2
240000,25.7502,1495.94
250000,25.5962,1555.91
260000,25.8674,1616.63
270000,25.8479,1677.76
280000,25.9004,1738.18
290000,26.0027,1798.87
300000,26.0857,1858.86
310000,25.6505,1919.36
320000,25.7068,1979.89
330000,25.6321,2040.4
340000,25.4498,2101.28
350000,25.351,2161.73
360000,25.1501,2222.27
370000,25.5686,2282.69
380000,25.2994,2343.05
390000,25.5039,2402.89
400000,25.6274,2462.95
410000,25.6523,2523.07
420000,25.587,2583.03
430000,25.8157,2642.66
440000,25.6246,2702.84
450000,25.0096,2763.43
460000,25.3542,2823.73
470000,25.1242,2883.4
480000,25.213,2943.31
490000,24.7705,3004.03
500000,24.6972,3064.32
510000,25.0446,3124.61
520000,24.8138,3184.65
530000,25.1023,3244.91
540000,25.0563,3306.03
550000,24.9774,3365.94
560000,24.8229,3426.35
570000,24.8445,3486.86
580000,24.8548,3547.13
590000,25.0212,3607.41
600000,24.6995,3668.19
610000,24.7511,3728.62
620000,24.665,3789.26
630000,24.6528,3849.85
640000,24.9897,3910.54
650000,24.8469,3970.56
660000,24.7834,4030.85
670000,24.4831,4090.67
680000,24.7607,4150.83
690000,24.6902,4210.85
700000,24.7257,4272.08
710000,24.855,4332.24
720000,24.749,4391.95
730000,24.605,4451.95
740000,24.4639,4512.1
750000,24.6785,4572.06
760000,24.6873,4631.93
770000,24.549,4692.25
780000,24.6749,4752.75
790000,24.4006,4813.15
800000,24.5725,4874.1
810000,24.3986,4934.53
820000,24.504,4994.85
830000,24.1806,5055.45
840000,24.167,5115.9
850000,24.1309,5176.22
860000,23.9893,5236.42
870000,24.0115,5296.33
880000,23.8128,5356.82
890000,23.8862,5416.78
900000,24.0015,5476.8
910000,24.3917,5536.65
920000,24.2674,5596.92
930000,24.1408,5657.34
940000,23.8548,5718.01
950000,24.1096,5778.61
960000,24.1951,5838.84
970000,23.5999,5899.15
980000,23.834,5959.65
990000,24.0316,6019.98
1000000,23.6219,6080.82
1010000,23.6888,6141.32
1020000,23.8733,6201.36
1030000,24.0578,6262.35
1040000,23.8668,6322.89
1050000,24.2616,6383.41
1060000,24.0839,6443.58
1070000,24.2802,6503.94
1080000,23.9651,6564.2
1090000,24.1295,6624.67
1100000,24.1203,6684.99
1110000,23.9366,6745.35
1120000,23.864,6805.96
1130000,23.6906,6866.72
1140000,23.6813,6926.57
1150000,23.6316,6987.2
1160000,23.6239,7047.99
1170000,23.8043,7108.36
1180000,23.7435,7169.28
1190000,23.8875,7229.95
1200000,24.1695,7290.28
1210000,24.3195,7350.63
1220000,23.9188,7411.07
1230000,23.8779,7472.22
1240000,23.7002,7532.79
1250000,23.5356,7593.53
1260000,23.5867,7654.51
1270000,23.46,7715.48
1280000,23.6488,7776.45
1290000,23.469,7837.3
1300000,23.5571,7898.27
1310000,23.601,7959.21
1320000,23.5544,8019.73
1330000,23.2896,8081.4
1340000,23.3023,8142.16
1350000,23.1365,8203.12
1360000,23.374,8263.7
1370000,23.4475,8324.62
1380000,23.5779,8385.35
1390000,23.3237,8446.27
1400000,23.5889,8506.96
1410000,23.5654,8567.86
1420000,23.3752,8628.43
1430000,23.3527,8689.66
1440000,23.4815,8750.47
1450000,23.57,8811.11
1460000,23.4507,8871.94
1470000,23.1991,8932.94
1480000,23.3488,8993.45
1490000,23.0297,9054.48
1500000,23.3091,9115.11
